"","country","national_population","national_population_ref_year","school_aged_population","school_aged_population_ref_year","per_capita_gni","per_capita_gni_ref_year","isced_6_enrollment","isced_6_ref_year","isced_7_enrollment","isced_7_ref_year","isced_8_enrollment","isced_8_ref_year","university_enrollment","proportion_school_aged","proportion_school_aged_enrolled","baseline_per_capita_kg_co2e","baseline_adjusted_per_capita_kg_co2e","baseline_oecd_per_capita_kg_co2e","meatless_day_per_capita_kg_co2e","low_red_meat_per_capita_kg_co2e","no_red_meat_per_capita_kg_co2e","no_dairy_per_capita_kg_co2e","pescetarian_per_capita_kg_co2e","lacto_ovo_vegetarian_per_capita_kg_co2e","eat_lancet_per_capita_kg_co2e","two_thirds_vegan_per_capita_kg_co2e","vegan_per_capita_kg_co2e","baseline_population_kg_co2e","baseline_adjusted_population_kg_co2e","baseline_oecd_population_kg_co2e","meatless_day_population_kg_co2e","low_red_meat_population_kg_co2e","no_red_meat_population_kg_co2e","no_dairy_population_kg_co2e","pescetarian_population_kg_co2e","lacto_ovo_vegetarian_population_kg_co2e","eat_lancet_population_kg_co2e","two_thirds_vegan_population_kg_co2e","vegan_population_kg_co2e","baseline_adjusted_population_reduction_kg_co2e","baseline_oecd_population_reduction_kg_co2e","meatless_day_population_reduction_kg_co2e","low_red_meat_population_reduction_kg_co2e","no_red_meat_day_population_reduction_kg_co2e","no_dairy_population_reduction_kg_co2e","pescetarian_population_reduction_kg_co2e","lacto_ovo_vegetarian_population_reduction_kg_co2e","eat_lancet_population_reduction_kg_co2e","two_thirds_vegan_population_reduction_kg_co2e","vegan_population_reduction_kg_co2e","baseline_adjusted_population_percent_reduction_kg_co2e","baseline_oecd_population_percent_reduction_kg_co2e","meatless_day_population_percent_reduction_kg_co2e","low_red_meat_population_percent_reduction_kg_co2e","no_red_meat_day_population_percent_reduction_kg_co2e","no_dairy_population_percent_reduction_kg_co2e","pescetarian_population_percent_reduction_kg_co2e","lacto_ovo_vegetarian_population_percent_reduction_kg_co2e","eat_lancet_population_percent_reduction_kg_co2e","two_thirds_vegan_population_percent_reduction_kg_co2e","vegan_population_percent_reduction_kg_co2e"
"106","Switzerland",8580000,2019,499765,2018,84410,2018,207284,2018,70070,2018,25209,2018,302563,0.058247668997669,0.605410542955189,1814.50863793405,1741.44148748493,1677.09816580082,1667.08412267149,1426.68084992456,1018.59764015234,1087.21098492787,998.752706704144,1220.93993379086,582.76,772.522474991787,288.062968745214,549003177.019241,526895760.777904,507427852.339194,504397973.407855,431660837.995726,308189957.797412,328949817.23273,302185615.198526,369411249.187563,176321613.88,233736717.60094,87157196.0124583,22107416.2413373,41575324.680047,44605203.6113862,117342339.023515,240813219.221829,220053359.786512,246817561.820715,179591927.831678,372681563.139241,315266459.418301,461845981.006783,0.0402682847144298,0.0757287506163009,0.0812476238362877,0.213737085567726,0.438637205214915,0.400823472427372,0.449574013689296,0.327123658567433,0.678833162974901,0.574252522781397,0.84124464181488
"107","United Republic of Tanzania",58005000,2019,4980920,2019,1020,2018,142898,2019,9123,2019,2014,2019,154035,0.0858705284027239,0.0309250098375401,930.441754947987,1461.44851034063,3964.18606259936,1466.30911835543,1468.51269561687,1327.74985222428,546.753686678989,840.463937818225,1495.47276644422,1799.06,660.553588002304,260.10612683314,143320595.723413,225114221.29032,610623400.152492,225862925.045879,226202353.069344,204519948.487367,84219204.127598,129460862.66183,230355147.579236,277118207.1,101748371.927935,40065447.2467427,-81793625.5669063,-467302804.429079,-82542329.322466,-82881757.3459309,-61199352.7639538,59101391.5958152,13859733.0615829,-87034551.8558229,-133797611.376587,41572223.7954782,103255148.476671,-0.570703918400922,-3.26054187864877,-0.575927897214159,-0.578296210168425,-0.427010175718633,0.412371936479191,0.0967044058924377,-0.607271770093576,-0.93355466952423,0.29006454784563,0.720448780968907
"108","Thailand",69626000,2019,4887764,2017,6610,2018,1859422,2016,180683,2016,24742,2016,2064847,0.0702002700140752,0.42245227060881,942.32082007963,1150.92716784243,2673.84079551408,1141.2862562039,1108.03820576426,910.203259331648,1048.99549343648,687.995319557482,1083.44078637268,754.74,647.221735870898,395.36901988513,1945748318.37896,2376488509.73795,5521072145.09487,2356581502.26385,2287929365.05772,1879430469.42117,2166015197.63583,1420605071.60231,2237139457.41926,1558422624.78,1336413859.64782,816376534.602752,-430740191.358984,-3575323826.71591,-410833183.884885,-342181046.678755,66317848.9577885,-220266879.256863,525143246.776655,-291391139.040296,387325693.598963,609334458.731146,1129371783.77621,-0.221375080882938,-1.83750580326574,-0.211144051881878,-0.175860898065086,0.0340834671839979,-0.11320419870149,0.269892689520174,-0.14975787787552,0.199062586841473,0.313162012257985,0.580430558828446
"109","Togo",8082000,2019,723244,2019,660,2018,84431,2018,3975,2018,1652,2018,90058,0.0894882454837911,0.124519525913799,450.534999245844,565.806373244954,2643.36708096151,537.158303789011,603.56772058698,464.263880315914,564.274410435314,426.841389434377,365.269887053353,1404.8,372.174630965778,275.35875982619,40574280.9620822,50955390.3616941,238056352.577232,48375402.5226308,54356101.7806223,41810676.5334906,50817424.8549835,38440481.8496811,32895475.4882509,126513478.4,33517302.9155161,24798259.192427,-10381109.3996119,-197482071.615149,-7801121.5605486,-13781820.8185401,-1236395.57140835,-10243143.8929013,2133799.11240107,7678805.47383131,-85939197.4379178,7056978.04656614,15776021.7696552,-0.255854426830468,-4.86717366106135,-0.192267647770245,-0.339668886096086,-0.0304723963577765,-0.252454107627288,0.0525899427372518,0.18925302659109,-2.11807074334183,0.17392737170527,0.388818270973139
"110","Tunisia",11695000,2019,838860,2019,3500,2018,163719,2019,91806,2019,11629,2019,267154,0.0717280889268918,0.318472689125718,982.786757089142,895.400443545767,1666.67237696046,889.203052872147,862.61994367111,729.48330535197,645.68171944916,616.348335224859,852.018708830428,733.27,522.251547240094,335.676136142795,262555413.303393,239209810.095026,445258192.194495,237554152.387005,230452368.431512,194884382.958,172496454.077721,164659923.148662,227620206.138884,195896013.58,139521589.85138,89677222.4750923,23345603.208367,-182702778.891103,25001260.9163873,32103044.871881,67671030.3453926,90058959.2256717,97895490.1547308,34935207.1645087,66659399.7233928,123033823.452013,172878190.8283,0.0889168610718769,-0.695863690610647,0.0952227973585803,0.122271502491494,0.257739992841801,0.343009340742882,0.372856491218518,0.1330584150788,0.253886975266304,0.468601358867594,0.658444587575626
"111","Turkey",83430000,2019,6677766,2018,10420,2018,4112575,2018,583939,2018,95100,2018,4791614,0.0800403451995685,0.717547455241768,1262.72306130836,1046.96076909762,1683.83520911486,1054.39039889559,1046.96076909762,944.870739489885,684.81781122504,725.274520348291,1098.96817768341,732.76,587.045056021839,357.087199483947,6050481498.688,5016631878.65894,8068288361.68771,5052231796.81371,5016631878.65894,4527455863.53008,3281382611.71526,3475235545.54416,5265831305.74234,3511103074.64,2812893309.06503,1711024024.26807,1033849620.02906,-2017806862.99971,998249701.874283,1033849620.02906,1523025635.15791,2769098886.97274,2575245953.14384,784650192.945658,2539378424.048,3237588189.62297,4339457474.41992,0.170870635709445,-0.333495253797117,0.164986819989574,0.170870635709445,0.251719740898005,0.457665871315068,0.425626613964899,0.129683925670346,0.419698568551717,0.535095957292823,0.717208618084512
"112","Uganda",44270000,2019,3419644,2014,620,2018,0,0,0,0,2194,2004,2194,0.0772451773209849,0.000641587252942119,767.738364112891,1279.18683708216,3557.50992531238,1273.23778388072,1279.18683708216,1094.25591267006,599.530388090507,729.731817139553,1237.5434646721,1567.16,573.915560568743,221.279922312037,1684417.97086368,2806535.92055825,7805176.77613535,2793483.6978343,2806535.92055825,2400797.47239811,1315369.67147057,1601031.60680418,2715170.36149059,3438349.04,1259170.73988782,485488.14955261,-1122117.94969457,-6120758.80527167,-1109065.72697061,-1122117.94969457,-716379.501534424,369048.29939311,83386.3640595023,-1030752.39062691,-1753931.06913632,425247.23097586,1198929.82131107,-0.666175479663876,-3.63375297054879,-0.658426676843125,-0.666175479663876,-0.425297945002986,0.219095441735213,0.0495045561742292,-0.611933859918622,-1.04126831907225,0.252459447911147,0.711776911698658
"113","Ukraine",44391000,2019,2595860,2014,2660,2018,800886,2019,392210,2019,24751,2019,1217847,0.0584771687954766,0.469149723020502,996.557603587618,970.894586477164,1435.53650809649,963.907892812196,879.465401769573,765.768259661091,636.431250283028,715.219078873019,921.987730822385,557.65,549.990868253142,339.53900914113,1213654687.85637,1182401059.45746,1748263829.77578,1173892335.53765,1071054301.14887,932588577.723481,775075888.863435,871027409.54827,1122839992.01885,679132379.55,669804728.929484,413506563.665498,31253628.3989143,-534609141.919413,39762352.3187151,142600386.7075,281066110.132889,438578798.992935,342627278.3081,90814695.8375206,534522308.30637,543849958.926886,800148124.190871,0.0257516645481067,-0.440495263824731,0.0327624922612426,0.117496671939998,0.231586556658323,0.361370333243288,0.282310348846647,0.0748274585400589,0.440423716609603,0.448109305199049,0.659288125524519
"114","United Kingdom",66856000,2019,4019176,2018,41770,2018,1620993,2018,450591,2018,111257,2018,2182841,0.060116907981333,0.543106596974106,1968.09931718906,1753.15281164199,2016.86325675112,1683.44900075754,1671.96366299662,980.615251353902,1424.52217491127,959.83663934465,1265.22613545082,665.44,762.734416990407,267.525219664616,4296047881.63228,3826853836.51742,4402491808.22988,3674701500.26258,3649630834.0992,2140527175.8806,3109505408.80548,2095170769.66372,2761787482.73359,1452549715.04,1664927957.51776,583965018.017929,469194045.114866,-106443926.597599,621346381.369698,646417047.533079,2155520705.75168,1186542472.8268,2200877111.96856,1534260398.89869,2843498166.59228,2631119924.11452,3712082863.61435,0.109215273675347,-0.0247771741680765,0.144632089420199,0.150467840523107,0.501745037565244,0.276193959080357,0.512302742569141,0.357132983889311,0.661886981928119,0.612451256738515,0.864069248270098
"115","United States of America",329534000,2019,21452031,2018,63080,2018,9057685.06365,2018,2651278.84228,2018,354198.15772,2018,12063162.06365,0.0650980809263991,0.562331933216487,2058.19454596097,1690.76683411338,1659.56749467296,1619.79036514157,1457.38724071953,857.98984797208,1300.5423573807,876.698480972561,1193.93155131074,586.17,740.516166034377,265.390831994876,24828334366.4477,20395994331.7541,20019631643.8055,19539793683.8416,17580698474.2954,10350070585.0536,15688653227.7248,10575755856.9278,14402589796.3665,7071063706.84972,8932966521.62544,3201452616.5611,4432340034.69361,4808702722.64225,5288540682.60612,7247635892.15234,14478263781.3941,9139681138.72294,14252578509.52,10425744570.0812,17757270659.598,15895367844.8223,21626881749.8866,0.178519427412067,0.193678023328886,0.213004247669264,0.291909871406701,0.583134718894377,0.368114953014087,0.574044891580825,0.41991316921244,0.715201849528604,0.640210801506799,0.871056488554164
"116","Uruguay",3462000,2019,257364,2017,15650,2018,0,0,0,0,91.02809,2006,91.02809,0.0743396880415945,0.000353693950979935,2666.58309173416,2206.89635267941,2221.50606980913,2059.40240585953,2033.89139920384,1081.33770451818,1727.54372644956,1038.00334551458,1174.56898053155,1088.55,1116.59280584947,571.422599000603,242733.965666855,200889.559812373,202219.454458131,187463.467546798,185141.249336954,98432.1058872739,157255.005810186,94487.4619558024,106918.770871034,99088.6273695,101641.310424218,52015.5077698608,41844.405854482,40514.511208724,55270.4981200578,57592.7163299019,144301.859779581,85478.9598566699,148246.503711053,135815.194795821,143645.338297355,141092.655242637,190718.457896995,0.172387929886632,0.166909114253622,0.227699893454197,0.237266820783318,0.594485651742827,0.352150798598936,0.610736545681936,0.559522827481932,0.591780956170362,0.581264574387098,0.785709809391692
"117","Venezuela (Bolivarian Republic of)",28516000,2019,2660784,2015,13080,2014,0,0,0,0,5718,2008,5718,0.0933084584093141,0.00214899067342558,2762.01333019805,3003.92769201281,3182.73369152231,2926.1689865832,2856.99974846154,1370.86055136282,2344.28996553389,1066.62396317691,2459.61675400555,1229.74,1218.02259665356,325.070048973933,15793192.2220724,17176458.5429292,18198871.2481246,16731834.2652827,16336324.5617031,7838580.63269263,13404650.0229228,6098955.8214456,14064088.5994037,7031653.32,6964653.20766505,1858750.54003295,-1383266.3208568,-2405679.02605214,-938642.043210303,-543132.339630667,7954611.58937981,2388542.19914967,9694236.40062684,1729103.62266869,8761538.90207244,8828539.01440739,13934441.6820395,-0.087586239780173,-0.152323798268597,-0.0594333324138526,-0.0343902823440336,0.503673448504129,0.151238721441727,0.613823745339986,0.109484111784071,0.554766812109548,0.559009153454657,0.882306850072072
"118","Yemen",29162000,2019,2877905,2014,1460,2014,0,0,0,0,64,2007,64,0.0986868184623826,2.22383991132438e-05,688.267402947289,1209.80800248268,2521.81729782288,1185.20999089985,1139.35424805163,917.752691319238,817.034272216812,532.083935779174,1037.62273905431,1218.94,584.296241860215,271.54068946138,44049.1137886265,77427.7121588914,161396.307060664,75853.4394175907,72918.6718753042,58736.1722444312,52290.193421876,34053.3718898671,66407.8552994759,78012.16,37394.9594790538,17378.6041255283,-33378.5983702649,-117347.193272038,-31804.3256289642,-28869.5580866777,-14687.0584558047,-8241.07963324949,9995.74189875939,-22358.7415108494,-33963.0462113735,6654.15430957273,26670.5096630982,-0.757758681149296,-2.66400803964271,-0.722019647922544,-0.655394753801649,-0.333424607048438,-0.187088432080496,0.226922656077142,-0.5075866365471,-0.771026776482908,0.151062160784965,0.605472105320415
"119","Zimbabwe",14645000,2019,1354863,2015,1790,2018,99433,2015,14899,2015,371,2015,114703,0.0925136906794128,0.084660220258432,816.803749684234,1720.95871960324,3150.46286254855,1719.54608898971,1641.90201031716,1302.93373961312,891.189771864991,547.116132575935,1711.07030530852,1336,733.60308843932,239.925272857358,93689840.5000307,197399128.014651,361367541.722907,197237095.045387,188331086.289409,149450408.734843,102222140.40223,62755861.7548575,196264897.229804,153243208,84146475.0532553,27520148.5725576,-103709287.51462,-267677701.222876,-103547254.545356,-94641245.7893781,-55760568.2348127,-8532299.90219943,30933978.7451732,-102575056.729773,-59553367.4999693,9543365.44677536,66169691.9274731,-1.10694272677928,-2.85706219366216,-1.1052132653094,-1.01015483946039,-0.595161310310849,-0.0910696384651934,0.330174313245448,-1.09483649649013,-0.635643813482101,0.101861262606934,0.706263257300042
"120","Taiwan",23596027,2019,1753830,2019,26561,2019,1016459,2019,168203,2019,28510,2019,1213172,0.07432734333,0.6917272484,1221.35524863351,1176.8670420232,2175.75631009458,1107.72596493415,1128.23105600156,847.006657035649,1082.96741549586,686.534593330327,692.879502399893,724.84,650.493416037031,387.306603043949,1481713989.69521,1427742143.10536,2639566634.23007,1343862124.3311,1368738326.67152,1027564760.12925,1313825745.39194,832884545.659739,840582011.685482,879355592.48,789160398.520477,469869526.228034,53971846.589848,-1157852644.53485,137851865.364117,112975663.023688,454149229.56596,167888244.30327,648829444.035473,641131978.00973,602358397.215212,692553591.174735,1011844463.46718,0.0364252797538545,-0.781427895388249,0.0930354078606447,0.0762466061665027,0.306502626501744,0.113306782193374,0.437891150753687,0.432696176501384,0.406528116360106,0.467400318814019,0.682887838344102
