country_code,country,diet,attribute,centile_up,value,centile_down,value_baseline,diff_baseline,%_diff_baseline,value_baseline_adj,diff_baseline_adj,%_diff_baseline_adj
84,Greece,pescetarian,kg_co2_luc_human_palm_soy,0.0,0.5595547102187961,0.0,0.5558855006045003,0.003669209614295843,0.006600657168258111,0.4544481787493799,0.10510653146941618,0.23128386554142305
84,Greece,pescetarian,kg_co2_luc_pasture,0.0,0.0,0.0,0.08134108338372277,-0.08134108338372277,-1.0,0.06649805969221391,-0.06649805969221391,-1.0
84,Greece,pescetarian,kg_co2e_excl_luc,256.8077085077156,1047.6952833929577,125.68020919189775,1691.1896443546245,-643.4943609616669,-0.38049804947051397,1382.5833790609736,-334.8880956680159,-0.24221909560019886
84,Greece,pescetarian,kg_co2e_total,256.8077085077156,1071.684007941689,125.68020919189775,1802.0541087441547,-730.3701008024657,-0.4052986518320796,1473.2174284741336,-401.53342053244455,-0.27255543735205995
84,Greece,pescetarian,l_blue_green_wf,15457.938465035144,783653.6091392923,7273.903338706892,1317040.8324524246,-533387.2233131323,-0.4049891318251136,1076708.7952387691,-293055.1860994769,-0.272176829422564
84,Greece,pescetarian,l_blue_wf_brackish_pond,4540.5075174720705,4222.532506983817,96.94156431708961,1615.1319433496105,2607.4005636342067,1.614357622217995,1320.4045964447573,2902.12791053906,2.1979080642048325
84,Greece,pescetarian,l_blue_wf_excl_pond,189.52196306061273,113439.00189807167,182.36610154571406,175765.20711799723,-62326.205219925556,-0.354599219275996,143691.78216632686,-30252.780268255185,-0.21053939071642128
84,Greece,pescetarian,l_blue_wf_freshwater_pond,9384.77459951005,10934.117130122644,5258.2186501911765,4182.334137150772,6751.782992971872,1.6143576222179954,3419.1468017831958,7514.970328339448,2.1979080642048325
84,Greece,pescetarian,l_blue_wf_total,14114.804080042733,128595.65153517814,5537.52631605398,181562.67319849762,-52967.02166331948,-0.2917285845720725,148431.33356455484,-19835.682029376694,-0.13363540940464488
84,Greece,pescetarian,l_green_wf,1343.1343849924106,655057.9576041142,1736.3770226529123,1135478.1592539272,-480420.201649813,-0.42309946495622247,928277.4616742146,-273219.5040701004,-0.29432956777527436
84,Greece,vegan,kg_co2_luc_human_palm_soy,0.0,1.3197603763853394,0.0,0.5558855006045003,0.7638748757808391,1.374158662080878,0.4544481787493799,0.8653121976359595,1.9040943238396466
84,Greece,vegan,kg_co2e_excl_luc,197.65911670353879,299.5177848060663,98.54495315912621,1691.1896443546245,-1391.6718595485581,-0.8228952111870543,1382.5833790609736,-1083.0655942549074,-0.7833636731482383
84,Greece,vegan,kg_co2e_total,197.65911670353879,300.8375451824516,98.54495315912621,1802.0541087441547,-1501.2165635617032,-0.8330585392954132,1473.2174284741336,-1172.379883291682,-0.7957955564685111
84,Greece,vegan,l_blue_green_wf,0.0,595318.7939376766,0.0,1317040.8324524246,-721722.038514748,-0.5479875951688223,1076708.7952387691,-481390.00130109256,-0.4470939621091702
84,Greece,vegan,l_blue_wf_brackish_pond,0.0,0.0,0.0,1615.1319433496105,-1615.1319433496105,-1.0,1320.4045964447573,-1320.4045964447573,-1.0
84,Greece,vegan,l_blue_wf_excl_pond,0.0,98188.06090176686,0.0,175765.20711799723,-77577.14621623037,-0.4413680471138418,143691.78216632686,-45503.721264559994,-0.31667587790015916
84,Greece,vegan,l_blue_wf_freshwater_pond,0.0,0.0,0.0,4182.334137150772,-4182.334137150772,-1.0,3419.1468017831958,-3419.1468017831958,-1.0
84,Greece,vegan,l_blue_wf_total,0.0,98188.06090176686,0.0,181562.67319849762,-83374.61229673076,-0.4592056881955,148431.33356455484,-50243.272662787975,-0.3384950566447379
84,Greece,vegan,l_green_wf,0.0,497130.7330359097,0.0,1135478.1592539272,-638347.4262180175,-0.5621837998517273,928277.4616742146,-431146.72863830486,-0.46445889988614075
89,Guatemala,2/3_vegan,kg_co2_luc_feed_palm,0.0,0.24280134905379105,0.0,0.4944768502368876,-0.25167550118309656,-0.5089732735971909,0.7284040471613733,-0.4856026981075823,-0.6666666666666667
89,Guatemala,2/3_vegan,kg_co2_luc_feed_soy,0.0,4.611985316854346,0.0,7.913755812128326,-3.3017704952739795,-0.4172191527837907,13.83595595056304,-9.223970633708694,-0.6666666666666667
89,Guatemala,2/3_vegan,kg_co2_luc_human_palm_soy,0.0,30.350168715679562,0.0,28.533869660121542,1.8162990555580194,0.06365414425707736,30.309783619019928,0.040385096659633746,0.0013324112493594768
89,Guatemala,2/3_vegan,kg_co2_luc_pasture,0.0,6.845901753503657,0.0,13.45067220495472,-6.6047704514510635,-0.49103645905653065,20.537705260510972,-13.691803507007315,-0.6666666666666666
89,Guatemala,2/3_vegan,kg_co2e_excl_luc,107.95099896964405,534.6976170071398,67.08531937841023,842.3209524330279,-307.62333542588806,-0.365209169423275,1160.2907658202557,-625.5931488131159,-0.5391692903553009
89,Guatemala,2/3_vegan,kg_co2e_total,107.95099896964405,576.7484741422312,67.08531937841023,892.7137269604694,-315.96525281823824,-0.3539379347218547,1225.702614697511,-648.9541405552799,-0.5294548063890964
89,Guatemala,2/3_vegan,l_blue_green_wf,832.2839526969939,868362.5181965379,503.7944078687134,829089.5194702414,39272.99872629647,0.04736882785756418,1011164.8184396575,-142802.3002431196,-0.14122554269983387
89,Guatemala,2/3_vegan,l_blue_wf_brackish_pond,122.24145764014955,113.68080035114531,2.609901664612792,177.2214601181617,-63.54065976701639,-0.35853817999609594,341.04240105343615,-227.36160070229084,-0.6666666666666669
89,Guatemala,2/3_vegan,l_blue_wf_excl_pond,14.432640779978065,39934.05210185088,11.08443843996558,39168.048329902645,766.0037719482352,0.019556853216080045,44085.842453431476,-4151.790351580596,-0.09417513924036254
89,Guatemala,2/3_vegan,l_blue_wf_freshwater_pond,624.4566801222086,709.2768202367035,366.51493277369974,1105.7194646945413,-396.4426444578378,-0.35853817999609544,2127.8304607101113,-1418.5536404734078,-0.6666666666666667
89,Guatemala,2/3_vegan,l_blue_wf_total,761.1307785423362,40757.00972243873,380.2092728782781,40450.98925471534,306.0204677233851,0.007565215915892897,46554.715315195026,-5797.705592756298,-0.12453530332004803
89,Guatemala,2/3_vegan,l_green_wf,71.15317415465768,827605.5084740991,123.58513499043528,788638.5302155263,38966.97825857275,0.04941044187623384,964610.1031244627,-137004.59465036355,-0.14203105918815573
89,Guatemala,baseline,kg_co2_luc_feed_palm,0.0,0.4944768502368876,0.0,0.4944768502368876,0.0,0.0,0.7284040471613733,-0.23392719692448571,-0.32115032561407586
89,Guatemala,baseline,kg_co2_luc_feed_soy,0.0,7.913755812128326,0.0,7.913755812128326,0.0,0.0,13.83595595056304,-5.9222001384347145,-0.4280297046040911
89,Guatemala,baseline,kg_co2_luc_human_palm_soy,0.0,28.533869660121542,0.0,28.533869660121542,0.0,0.0,30.309783619019928,-1.7759139588983857,-0.058592102841142295
89,Guatemala,baseline,kg_co2_luc_pasture,0.0,13.45067220495472,0.0,13.45067220495472,0.0,0.0,20.537705260510972,-7.087033055556251,-0.34507424104400297
89,Guatemala,baseline,kg_co2e_excl_luc,114.28415227750727,842.3209524330279,74.63320061598932,842.3209524330279,0.0,0.0,1160.2907658202557,-317.9698133872279,-0.27404321636778894
